imageID,eyeWidth,fishID,lakeID,fishStdLength,DOClevel,DOC,captureMethod,sizeStandardize,lakeSlope,lakeSS,basin,area,max_Depth,fitted
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 001 07-13,10.96907256,BA AN 001 07-13.jpg,BA,156.57184,low,7.4,Angling,8.816910819,0.54647,9.048278891,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 002 07-13,10.76528553,BA AN 002 07-13.jpg,BA,152.8512571,low,7.4,Angling,8.783098818,0.54647,8.997654334,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 003 07-13,10.39375431,BA AN 003 07-13.jpg,BA,118.4717093,low,7.4,Angling,9.931168852,0.54647,9.98494062,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 004 07-13,9.708220166,BA AN 004 07-13.jpg,BA,120.0864485,low,7.4,Angling,9.198612862,0.54647,9.257628953,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 005 07-13,10.61727328,BA AN 005 07-13.jpg,BA,138.6521994,low,7.4,Angling,9.202109733,0.54647,9.359561833,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 006 07-13,9.797888765,BA AN 006 07-13.jpg,BA,143.9636338,low,7.4,Angling,8.296306218,0.54647,8.461616476,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 007 07-13,11.23920719,BA AN 007 07-13.jpg,BA,153.8495259,low,7.4,Angling,9.13282344,0.54647,9.360401501,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 008 07-13,9.353907734,BA AN 008 07-13.jpg,BA,125.5837917,low,7.4,Angling,8.620317465,0.54647,8.704224466,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 009 07-13,11.44177549,BA AN 009 07-13.jpg,BA,164.1993374,low,7.4,Angling,8.929603156,0.54647,9.196035789,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 010 07-13,10.71476146,BA AN 010 07-13.jpg,BA,148.3724485,low,7.4,Angling,8.90456049,0.54647,9.102157141,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 011 07-13,11.03391888,BA AN 011 07-13.jpg,BA,164.5867633,low,7.4,Angling,8.598722844,0.54647,8.856817651,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 012 07-13,10.75952702,BA AN 012 07-13.jpg,BA,145.7596159,low,7.4,Angling,9.040805209,0.54647,9.229360111,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 013 07-13,9.552482719,BA AN 013 07-13.jpg,BA,127.9049582,low,7.4,Angling,8.703923996,0.54647,8.800487981,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 014 07-13,10.87019098,BA AN 014 07-13.jpg,BA,138.1369409,low,7.4,Angling,9.443088985,0.54647,9.602035324,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA AN 015 07-13,11.03940951,BA AN 015 07-13.jpg,BA,146.2637841,low,7.4,Angling,9.256142451,0.54647,9.451587822,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA FN4 001,8.554889989,BA FN4 001.jpg,BA,95.11941081,low,7.4,Fyke_Net,9.366051905,0.54647,9.265970772,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA FN4 002,8.667484427,BA FN4 002.jpg,BA,115.5857501,low,7.4,Fyke_Net,8.409330315,0.54647,8.439544347,4,67.3,12.2,2.193379
C:\Users\Chelsea\Documents\MCGILL\Bluegill Sunfish Data\2018 Photos\BLUEGILL\BLG BAY 2018\Bay Light Adj\BA FN4 003,9.479685124,BA FN4 003.jpg,BA,122.5793694,low,7.4,Fyke_Net,8.868376854,0.54647,8.938768811,4,67.3,12.2,2.193379
